,Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest_x,Open Interest_y,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts,Daily Returns,Cumulative Daily Returns,5 Day Returns,5 Day Rolling Average,10 Day Returns,10 Day Rolling Average
322,2012-08-21,1743.0,1753.5,1739.5,1753.5,,1753.5,18253.0,36340.0,755189.0,142402.0,441669.0,91740.0,40914.0,39292.0,241466.0,8534.0,53944.0,78700.0,62528.0,34363.0,681907.0,681244.0,73282.0,73945.0,0.04375,2.9433487201,0.0698596705308,1681.8,0.221951219512,1617.325
323,2012-08-28,1718.0,1732.5,1718.0,1732.5,,1732.5,8088.0,12114.0,742076.0,139898.0,422265.0,95095.0,40645.0,37514.0,220371.0,8980.0,63315.0,74025.0,61036.0,34482.0,664700.0,668237.0,77376.0,73839.0,-0.0119760479042,2.90809903483,0.0504774897681,1698.45,0.208369659983,1647.2
324,2012-09-04,1771.0,1771.0,1771.0,1771.0,,1771.0,1985.0,3271.0,742721.0,135229.0,426044.0,95884.0,38834.0,36821.0,222643.0,9612.0,62956.0,80389.0,60775.0,31103.0,665025.0,666145.0,77696.0,76576.0,0.0222222222222,2.97272345783,0.0290528762347,1708.45,0.204352261136,1677.25
325,2012-09-11,1697.0,1697.5,1695.0,1696.5,,1696.5,794.0,741.0,733037.0,138784.0,422699.0,94314.0,40003.0,35030.0,222068.0,7029.0,61726.0,75041.0,60265.0,30906.0,657869.0,657658.0,75168.0,75379.0,-0.0420666290232,2.84767100294,0.0568447282355,1726.7,0.0790268723167,1689.675
326,2012-09-18,1643.0,1665.0,1639.0,1640.0,,1640.0,183685.0,347703.0,730121.0,152000.0,415865.0,98544.0,41561.0,30260.0,213890.0,9218.0,56674.0,74904.0,62539.0,32481.0,658753.0,648598.0,71368.0,81523.0,-0.0333038608901,2.75283256399,-0.0238095238095,1718.7,-0.00530705079606,1688.8
327,2012-09-25,1615.0,1617.0,1605.0,1611.5,,1611.5,109021.0,325814.0,725029.0,162331.0,409685.0,95894.0,54916.0,31402.0,201814.0,11429.0,53088.0,67634.0,40333.0,42608.0,654771.0,643461.0,70258.0,81568.0,-0.0173780487805,2.70499370541,-0.0809808953522,1690.3,-0.0167785234899,1686.05
328,2012-10-02,1535.0,1546.0,1529.5,1530.5,,1530.5,158179.0,305517.0,721122.0,166494.0,410396.0,96977.0,52498.0,32554.0,197105.0,13840.0,54609.0,69832.0,39610.0,37871.0,655442.0,641378.0,65680.0,79744.0,-0.0502637294446,2.56903063366,-0.116594516595,1649.9,-0.0720024253449,1674.175
329,2012-10-09,1570.0,1570.0,1548.5,1550.0,,1550.0,135848.0,251733.0,718506.0,164937.0,408430.0,98551.0,51826.0,32675.0,193759.0,14952.0,53963.0,67593.0,38565.0,38022.0,649500.0,638433.0,69006.0,80073.0,0.0127409343352,2.60176248426,-0.124788255223,1605.7,-0.0993608367228,1657.075
330,2012-10-16,1504.0,1512.25,1491.5,1493.75,,1493.75,106141.0,207982.0,715100.0,159766.0,394150.0,98179.0,50441.0,33948.0,193110.0,11165.0,56628.0,65698.0,43492.0,42318.0,649647.0,632142.0,65453.0,82958.0,-0.0362903225806,2.50734368443,-0.119510757442,1565.15,-0.0694595857343,1645.925
331,2012-10-23,1533.0,1554.0,1530.0,1553.25,,1553.25,95410.0,151609.0,706473.0,148437.0,388651.0,97697.0,50267.0,33748.0,194976.0,13943.0,55282.0,64023.0,40432.0,42510.0,636673.0,624833.0,69800.0,81640.0,0.0398326359833,2.6072177927,-0.0528963414634,1547.8,-0.0754464285714,1633.25
