,Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest_x,Open Interest_y,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts,Daily Returns,Cumulative Daily Returns,5 Day Returns,5 Day Rolling Average,10 Day Returns,10 Day Rolling Average
243,2011-03-01,57.2,57.22,56.7,57.07,,57.07,17489.0,10964.0,367578.0,83131.0,247326.0,88422.0,4403.0,13404.0,74856.0,13334.0,17218.0,29455.0,20707.0,22963.0,329449.0,339355.0,38129.0,28223.0,0.0570476014077,2.28554265118,0.0231265686626,57.018,0.0271778257739,56.774
244,2011-03-08,57.7,58.15,57.62,57.97,,57.97,1160.0,1739.0,371133.0,77957.0,251398.0,90098.0,5300.0,14533.0,77006.0,10724.0,21378.0,32833.0,23488.0,22129.0,335934.0,348950.0,35199.0,22183.0,0.0157701068863,2.32158590308,-0.012772479564,56.868,0.0202393523407,56.889
245,2011-03-15,54.5,54.58,52.88,52.88,,52.88,53781.0,167217.0,373398.0,78715.0,231982.0,84836.0,3349.0,13862.0,68282.0,13927.0,20049.0,36700.0,25326.0,24622.0,327066.0,333117.0,46332.0,40281.0,-0.0878040365706,2.11774128955,-0.100221201293,55.69,-0.0612462275874,56.544
246,2011-03-22,55.08,55.88,55.08,55.86,,55.86,53151.0,141135.0,343686.0,79094.0,222804.0,78418.0,3482.0,13892.0,63411.0,14168.0,15983.0,33788.0,22544.0,25733.0,310319.0,318606.0,33367.0,25080.0,0.0563540090772,2.2370845014,-0.0120268836222,55.554,-0.00551896029909,56.513
247,2011-03-29,56.55,57.05,56.55,57.02,,57.02,39178.0,130281.0,350014.0,74629.0,227390.0,79740.0,3139.0,14465.0,69981.0,13121.0,15835.0,33158.0,23834.0,28098.0,315906.0,325882.0,34108.0,24132.0,0.0207662012173,2.2835402483,0.0561215039822,56.16,-0.00920938314509,56.46
248,2011-04-05,58.62,58.9,58.6,58.85,,58.85,34569.0,132946.0,377348.0,77155.0,239280.0,78745.0,3215.0,15452.0,84608.0,15187.0,16821.0,31920.0,26770.0,36241.0,340942.0,352966.0,36406.0,24382.0,0.0320940021045,2.35682819383,0.0311897669529,56.516,0.0550376479025,56.767
249,2011-04-12,58.0,58.0,56.6,57.24,,57.24,65477.0,108788.0,369060.0,72833.0,230259.0,76206.0,3418.0,14819.0,82946.0,14914.0,13763.0,30263.0,26289.0,35008.0,325838.0,338470.0,43222.0,30590.0,-0.0273576890399,2.29235082099,-0.0125927203726,56.37,-0.025204359673,56.619
250,2011-04-19,57.58,57.8,57.18,57.53,,57.53,43990.0,66085.0,353005.0,66474.0,227047.0,72323.0,2900.0,16382.0,80941.0,14713.0,14461.0,35748.0,24801.0,26216.0,312545.0,326520.0,40460.0,26485.0,0.00506638714186,2.30396475771,0.0879349470499,57.3,-0.0210992002722,56.495
251,2011-04-26,58.15,58.15,57.8,58.05,,58.05,25959.0,39287.0,340125.0,63430.0,219591.0,77517.0,2715.0,12482.0,80229.0,16128.0,15160.0,27446.0,23596.0,25664.0,301928.0,315336.0,38197.0,24789.0,0.00903876238484,2.3247897477,0.0392051557465,57.738,0.0267067562787,56.646
252,2011-05-03,57.62,57.85,57.14,57.27,,57.27,2863.0,3158.0,321664.0,57187.0,204495.0,77421.0,3823.0,13154.0,74936.0,16762.0,14378.0,25613.0,19904.0,22796.0,285485.0,295312.0,36179.0,26352.0,-0.0134366925065,2.29355226272,0.00438442651701,57.788,0.0607519911095,56.974
253,2011-05-10,56.4,56.88,55.98,56.49,,56.49,370.0,1157.0,308341.0,62873.0,189937.0,76928.0,2645.0,12668.0,60336.0,21243.0,14813.0,25532.0,19550.0,21444.0,274594.0,282300.0,33747.0,26041.0,-0.013619696176,2.26231477773,-0.0401019541206,57.316,-0.0101629577712,56.916
254,2011-05-17,56.0,56.17,55.14,56.04,,56.04,43115.0,148640.0,310777.0,69557.0,188247.0,77050.0,4467.0,11096.0,59863.0,23943.0,15343.0,25895.0,19919.0,20251.0,279055.0,283266.0,31722.0,27511.0,-0.00796601168348,2.24429315178,-0.020964360587,57.076,-0.0332930826289,56.723
255,2011-05-24,57.6,57.85,57.15,57.48,,57.48,40396.0,143051.0,317766.0,62502.0,199595.0,77637.0,2301.0,10427.0,66742.0,19254.0,12032.0,25185.0,20434.0,27164.0,281689.0,291207.0,36077.0,26559.0,0.0256959314775,2.30196235483,-0.000869111767773,57.066,0.0869894099849,57.183
256,2011-05-31,58.57,58.9,58.3,58.49,,58.49,41081.0,142424.0,321598.0,57426.0,207692.0,77495.0,1238.0,10677.0,72138.0,14747.0,11941.0,25064.0,19968.0,27758.0,282499.0,294021.0,39099.0,27577.0,0.017571329158,2.34241089307,0.00757967269595,57.154,0.047081990691,57.446
